Provider,PotentialFraud,Fraud,InpatientClaimCount,AvgInpatientReimbursement,TotalInpatientReimbursement,AvgInpatientDeductible,AvgLengthOfStay,OutpatientClaimCount,AvgOutpatientReimbursement,TotalOutpatientReimbursement,AvgOutpatientDeductible,TotalClaimCount,TotalReimbursement,InpatientToOutpatientRatio
PRV51025,No,0,13,6615.384615384615,86000.0,1068.0,7.0,74,437.1621621621622,32350.0,5.405405405405405,87,118350.0,0.17567567567567569
PRV51026,No,0,0,0.0,0.0,0.0,0.0,76,261.05263157894734,19840.0,4.473684210526316,76,19840.0,0.0
PRV51027,No,0,0,0.0,0.0,0.0,0.0,53,563.0188679245283,29840.0,0.0,53,29840.0,0.0
PRV51029,No,0,0,0.0,0.0,0.0,0.0,93,329.6774193548387,30660.0,1.7204301075268817,93,30660.0,0.0
PRV51030,No,0,79,8741.772151898735,690600.0,1068.0,4.7974683544303796,89,383.82022471910113,34160.0,2.696629213483146,168,724760.0,0.8876404494382022
PRV51031,No,0,28,11750.0,329000.0,1068.0,5.535714285714286,157,195.6687898089172,30720.0,2.1656050955414012,185,359720.0,0.17834394904458598
PRV51032,No,0,0,0.0,0.0,0.0,0.0,23,235.65217391304347,5420.0,2.1739130434782608,23,5420.0,0.0
PRV51035,No,0,1,29000.0,29000.0,1068.0,14.0,29,122.75862068965517,3560.0,12.413793103448276,30,32560.0,0.034482758620689655
PRV51036,No,0,0,0.0,0.0,0.0,0.0,278,269.3525179856115,74880.0,5.071942446043166,278,74880.0,0.0
PRV51037,Yes,1,23,9304.347826086956,214000.0,1068.0,4.565217391304348,431,297.51740139211137,128230.0,2.2273781902552203,454,342230.0,0.05336426914153132
PRV51038,No,0,30,7653.333333333333,229600.0,1068.0,4.033333333333333,111,323.3333333333333,35890.0,1.981981981981982,141,265490.0,0.2702702702702703
PRV51040,No,0,9,7000.0,63000.0,1068.0,10.555555555555555,77,148.96103896103895,11470.0,3.116883116883117,86,74470.0,0.11688311688311688
PRV51041,No,0,0,0.0,0.0,0.0,0.0,34,217.94117647058823,7410.0,7.9411764705882355,34,7410.0,0.0
PRV51042,No,0,0,0.0,0.0,0.0,0.0,142,338.38028169014086,48050.0,2.183098591549296,142,48050.0,0.0
PRV51043,No,0,0,0.0,0.0,0.0,0.0,23,194.7826086956522,4480.0,0.0,23,4480.0,0.0
PRV51044,No,0,0,0.0,0.0,0.0,0.0,59,361.52542372881356,21330.0,2.2033898305084745,59,21330.0,0.0
PRV51045,No,0,0,0.0,0.0,0.0,0.0,31,270.64516129032256,8390.0,1.2903225806451613,31,8390.0,0.0
PRV51046,No,0,8,12625.0,101000.0,1068.0,4.5,30,279.0,8370.0,3.3333333333333335,38,109370.0,0.26666666666666666
PRV51047,No,0,0,0.0,0.0,0.0,0.0,11,230.0,2530.0,0.0,11,2530.0,0.0
PRV51048,No,0,4,4750.0,19000.0,1068.0,4.75,34,255.88235294117646,8700.0,2.3529411764705883,38,27700.0,0.11764705882352941
PRV51049,No,0,0,0.0,0.0,0.0,0.0,71,305.9154929577465,21720.0,2.676056338028169,71,21720.0,0.0
PRV51052,Yes,1,2,7000.0,14000.0,1068.0,9.0,44,381.8181818181818,16800.0,4.7727272727272725,46,30800.0,0.045454545454545456
PRV51053,No,0,1,8000.0,8000.0,1068.0,5.0,0,0.0,0.0,0.0,1,8000.0,1.0
PRV51054,No,0,0,0.0,0.0,0.0,0.0,57,265.43859649122805,15130.0,2.456140350877193,57,15130.0,0.0
PRV51055,No,0,2,8350.0,16700.0,1068.0,5.5,20,247.0,4940.0,3.5,22,21640.0,0.1
PRV51056,No,0,2,4000.0,8000.0,1068.0,3.0,20,335.0,6700.0,0.5,22,14700.0,0.1
PRV51057,No,0,0,0.0,0.0,0.0,0.0,5,1366.0,6830.0,0.0,5,6830.0,0.0
PRV51058,No,0,5,18200.0,91000.0,1068.0,7.4,78,205.51282051282053,16030.0,2.5641025641025643,83,107030.0,0.0641025641025641
PRV51059,Yes,1,25,16040.0,401000.0,1068.0,6.88,71,282.53521126760563,20060.0,3.380281690140845,96,421060.0,0.352112676056338
PRV51060,No,0,4,8000.0,32000.0,1068.0,6.0,37,235.40540540540542,8710.0,0.0,41,40710.0,0.10810810810810811
PRV51061,No,0,1,3000.0,3000.0,1068.0,8.0,144,360.69444444444446,51940.0,1.8055555555555556,145,54940.0,0.006944444444444444
PRV51062,No,0,3,15000.0,45000.0,1068.0,4.333333333333333,394,275.0761421319797,108380.0,1.8781725888324874,397,153380.0,0.007614213197969543
PRV51063,No,0,0,0.0,0.0,0.0,0.0,149,343.02013422818794,51110.0,1.0738255033557047,149,51110.0,0.0
PRV51064,Yes,1,34,8029.411764705882,273000.0,1068.0,5.617647058823529,267,300.8239700374532,80320.0,1.8726591760299625,301,353320.0,0.12734082397003746
PRV51065,No,0,10,7500.0,75000.0,1068.0,5.6,18,87.22222222222223,1570.0,6.111111111111111,28,76570.0,0.5555555555555556
PRV51066,No,0,2,9500.0,19000.0,1068.0,2.0,22,263.1818181818182,5790.0,4.545454545454546,24,24790.0,0.09090909090909091
PRV51067,Yes,1,11,28545.454545454544,314000.0,1068.0,7.181818181818182,46,185.2173913043478,8520.0,6.086956521739131,57,322520.0,0.2391304347826087
PRV51068,No,0,9,8555.555555555555,77000.0,1068.0,3.0,252,262.93650793650795,66260.0,1.746031746031746,261,143260.0,0.03571428571428571
PRV51070,No,0,10,10100.0,101000.0,1068.0,4.1,89,274.2696629213483,24410.0,3.3707865168539324,99,125410.0,0.11235955056179775
PRV51071,No,0,0,0.0,0.0,0.0,0.0,24,356.25,8550.0,2.0833333333333335,24,8550.0,0.0
PRV51072,No,0,12,6000.0,72000.0,1068.0,4.25,200,235.85,47170.0,2.15,212,119170.0,0.06
PRV51074,No,0,5,6200.0,31000.0,1068.0,2.6,34,299.11764705882354,10170.0,2.3529411764705883,39,41170.0,0.14705882352941177
PRV51075,No,0,0,0.0,0.0,0.0,0.0,17,502.94117647058823,8550.0,4.117647058823529,17,8550.0,0.0
PRV51076,No,0,0,0.0,0.0,0.0,0.0,29,352.7586206896552,10230.0,1.7241379310344827,29,10230.0,0.0
PRV51077,Yes,1,16,12437.5,199000.0,1068.0,5.9375,17,314.70588235294116,5350.0,11.764705882352942,33,204350.0,0.9411764705882353
PRV51078,No,0,8,9000.0,72000.0,1068.0,7.5,14,162.14285714285714,2270.0,7.142857142857143,22,74270.0,0.5714285714285714
PRV51081,No,0,6,13166.666666666666,79000.0,1068.0,6.0,194,232.37113402061857,45080.0,3.917525773195876,200,124080.0,0.030927835051546393
PRV51082,No,0,0,0.0,0.0,0.0,0.0,34,160.88235294117646,5470.0,2.0588235294117645,34,5470.0,0.0
PRV51083,No,0,0,0.0,0.0,0.0,0.0,90,201.11111111111111,18100.0,1.5555555555555556,90,18100.0,0.0
PRV51084,Yes,1,18,10111.111111111111,182000.0,1068.0,6.277777777777778,90,273.1111111111111,24580.0,5.888888888888889,108,206580.0,0.2
PRV51086,No,0,30,13633.333333333334,409000.0,1068.0,5.0,108,307.1296296296296,33170.0,0.5555555555555556,138,442170.0,0.2777777777777778
PRV51089,No,0,18,9833.333333333334,177000.0,1068.0,5.166666666666667,210,256.6666666666667,53900.0,2.5714285714285716,228,230900.0,0.08571428571428572
PRV51090,No,0,0,0.0,0.0,0.0,0.0,7,832.8571428571429,5830.0,8.571428571428571,7,5830.0,0.0
PRV51091,No,0,0,0.0,0.0,0.0,0.0,44,210.6818181818182,9270.0,1.8181818181818181,44,9270.0,0.0
PRV51093,No,0,2,5500.0,11000.0,1068.0,6.0,7,387.14285714285717,2710.0,0.0,9,13710.0,0.2857142857142857
PRV51096,No,0,0,0.0,0.0,0.0,0.0,5,640.0,3200.0,20.0,5,3200.0,0.0
PRV51097,No,0,0,0.0,0.0,0.0,0.0,125,355.36,44420.0,1.84,125,44420.0,0.0
PRV51098,No,0,0,0.0,0.0,0.0,0.0,4,75.0,300.0,0.0,4,300.0,0.0
PRV51100,No,0,5,15600.0,78000.0,1068.0,6.0,0,0.0,0.0,0.0,5,78000.0,5.0
PRV51101,No,0,3,5533.333333333333,16600.0,1068.0,3.3333333333333335,0,0.0,0.0,0.0,3,16600.0,3.0
PRV51102,No,0,12,12333.333333333334,148000.0,1068.0,4.0,0,0.0,0.0,0.0,12,148000.0,12.0
PRV51103,Yes,1,0,0.0,0.0,0.0,0.0,6,73.33333333333333,440.0,10.0,6,440.0,0.0
PRV51104,No,0,0,0.0,0.0,0.0,0.0,12,158.33333333333334,1900.0,9.166666666666666,12,1900.0,0.0
PRV51105,No,0,0,0.0,0.0,0.0,0.0,12,545.0,6540.0,0.0,12,6540.0,0.0
PRV51108,No,0,19,8210.526315789473,156000.0,1068.0,5.2631578947368425,0,0.0,0.0,0.0,19,156000.0,19.0
PRV51109,No,0,3,6000.0,18000.0,1068.0,6.333333333333333,0,0.0,0.0,0.0,3,18000.0,3.0
PRV51110,No,0,5,5400.0,27000.0,1068.0,10.2,0,0.0,0.0,0.0,5,27000.0,5.0
PRV51111,No,0,0,0.0,0.0,0.0,0.0,132,415.6060606060606,54860.0,1.5151515151515151,132,54860.0,0.0
PRV51112,No,0,0,0.0,0.0,0.0,0.0,304,346.2171052631579,105250.0,2.664473684210526,304,105250.0,0.0
PRV51113,No,0,0,0.0,0.0,0.0,0.0,132,351.43939393939394,46390.0,4.166666666666667,132,46390.0,0.0
PRV51114,No,0,0,0.0,0.0,0.0,0.0,262,292.82442748091603,76720.0,2.1374045801526718,262,76720.0,0.0
PRV51115,No,0,0,0.0,0.0,0.0,0.0,7,140.0,980.0,2.857142857142857,7,980.0,0.0
PRV51117,No,0,0,0.0,0.0,0.0,0.0,12,162.5,1950.0,0.0,12,1950.0,0.0
PRV51118,No,0,16,8500.0,136000.0,1068.0,4.25,0,0.0,0.0,0.0,16,136000.0,16.0
PRV51119,Yes,1,93,10408.602150537634,968000.0,1068.0,6.043010752688172,1,95580.0,95580.0,865.0,94,1063580.0,93.0
PRV51120,No,0,7,7428.571428571428,52000.0,1068.0,4.142857142857143,0,0.0,0.0,0.0,7,52000.0,7.0
PRV51121,No,0,6,13500.0,81000.0,1068.0,6.5,1,80.0,80.0,0.0,7,81080.0,6.0
PRV51122,No,0,0,0.0,0.0,0.0,0.0,7,160.0,1120.0,0.0,7,1120.0,0.0
PRV51123,No,0,2,4500.0,9000.0,1068.0,2.5,29,617.5862068965517,17910.0,1.3793103448275863,31,26910.0,0.06896551724137931
PRV51125,No,0,12,9166.666666666666,110000.0,1068.0,4.333333333333333,36,591.9444444444445,21310.0,7.777777777777778,48,131310.0,0.3333333333333333
PRV51126,Yes,1,19,9052.631578947368,172000.0,1068.0,6.842105263157895,0,0.0,0.0,0.0,19,172000.0,19.0
PRV51128,No,0,5,18000.0,90000.0,1068.0,6.4,45,271.55555555555554,12220.0,0.0,50,102220.0,0.1111111111111111
PRV51129,No,0,0,0.0,0.0,0.0,0.0,96,238.75,22920.0,5.0,96,22920.0,0.0
PRV51130,No,0,0,0.0,0.0,0.0,0.0,7,710.0,4970.0,0.0,7,4970.0,0.0
PRV51131,No,0,0,0.0,0.0,0.0,0.0,8,145.0,1160.0,8.75,8,1160.0,0.0
PRV51132,No,0,1,4000.0,4000.0,1068.0,4.0,7,190.0,1330.0,0.0,8,5330.0,0.14285714285714285
PRV51134,No,0,0,0.0,0.0,0.0,0.0,15,507.3333333333333,7610.0,5.333333333333333,15,7610.0,0.0
PRV51135,No,0,0,0.0,0.0,0.0,0.0,5,60.0,300.0,0.0,5,300.0,0.0
PRV51136,No,0,1,20000.0,20000.0,1068.0,2.0,0,0.0,0.0,0.0,1,20000.0,1.0
PRV51137,No,0,1,6000.0,6000.0,1068.0,7.0,54,186.11111111111111,10050.0,5.185185185185185,55,16050.0,0.018518518518518517
PRV51138,No,0,1,6000.0,6000.0,1068.0,1.0,25,297.2,7430.0,0.0,26,13430.0,0.04
PRV51139,No,0,7,5900.0,41300.0,1068.0,3.857142857142857,36,313.3333333333333,11280.0,1.1111111111111112,43,52580.0,0.19444444444444445
PRV51140,No,0,47,6540.425531914893,307400.0,1068.0,6.0212765957446805,440,331.20454545454544,145730.0,2.9318181818181817,487,453130.0,0.10681818181818181
PRV51141,No,0,0,0.0,0.0,0.0,0.0,71,274.50704225352115,19490.0,2.3943661971830985,71,19490.0,0.0
PRV51142,No,0,7,13857.142857142857,97000.0,1068.0,7.428571428571429,44,172.04545454545453,7570.0,1.3636363636363635,51,104570.0,0.1590909090909091
PRV51143,No,0,0,0.0,0.0,0.0,0.0,77,265.5844155844156,20450.0,4.545454545454546,77,20450.0,0.0
PRV51144,No,0,4,13250.0,53000.0,1068.0,5.0,26,316.15384615384613,8220.0,8.461538461538462,30,61220.0,0.15384615384615385
PRV51145,Yes,1,158,9858.227848101265,1557600.0,1068.0,6.050632911392405,41,140.2439024390244,5750.0,3.4146341463414633,199,1563350.0,3.8536585365853657
PRV51146,Yes,1,157,10071.337579617835,1581200.0,1068.0,5.210191082802548,190,330.05263157894734,62710.0,4.157894736842105,347,1643910.0,0.8263157894736842
PRV51147,No,0,0,0.0,0.0,0.0,0.0,32,276.875,8860.0,6.5625,32,8860.0,0.0
PRV51148,Yes,1,33,11921.212121212122,393400.0,1068.0,4.151515151515151,296,304.93243243243245,90260.0,3.5472972972972974,329,483660.0,0.11148648648648649
PRV51149,Yes,1,115,9600.0,1104000.0,1068.0,5.660869565217391,32,240.0,7680.0,2.1875,147,1111680.0,3.59375
PRV51151,No,0,22,6454.545454545455,142000.0,1068.0,4.181818181818182,211,281.042654028436,59300.0,4.123222748815166,233,201300.0,0.10426540284360189
PRV51152,No,0,0,0.0,0.0,0.0,0.0,83,310.48192771084337,25770.0,6.024096385542169,83,25770.0,0.0
PRV51153,No,0,4,12750.0,51000.0,1068.0,8.75,83,246.86746987951807,20490.0,7.590361445783133,87,71490.0,0.04819277108433735
PRV51154,No,0,0,0.0,0.0,0.0,0.0,161,284.16149068322983,45750.0,4.906832298136646,161,45750.0,0.0
PRV51155,No,0,0,0.0,0.0,0.0,0.0,115,228.95652173913044,26330.0,1.391304347826087,115,26330.0,0.0
PRV51156,No,0,0,0.0,0.0,0.0,0.0,542,259.48339483394835,140640.0,3.1734317343173433,542,140640.0,0.0
PRV51159,Yes,1,63,9772.380952380952,615660.0,1068.0,5.809523809523809,504,321.68650793650795,162130.0,2.0436507936507935,567,777790.0,0.125
PRV51160,No,0,90,9622.222222222223,866000.0,1068.0,5.655555555555556,24,250.83333333333334,6020.0,0.8333333333333334,114,872020.0,3.75
PRV51164,No,0,41,10804.878048780487,443000.0,1068.0,6.2926829268292686,350,325.65714285714284,113980.0,2.1714285714285713,391,556980.0,0.11714285714285715
PRV51165,No,0,26,11769.23076923077,306000.0,1068.0,6.576923076923077,72,329.1666666666667,23700.0,4.444444444444445,98,329700.0,0.3611111111111111
PRV51166,No,0,1,22000.0,22000.0,1068.0,16.0,4,717.5,2870.0,0.0,5,24870.0,0.25
PRV51167,No,0,0,0.0,0.0,0.0,0.0,190,273.57894736842104,51980.0,2.1578947368421053,190,51980.0,0.0
PRV51168,No,0,9,7000.0,63000.0,1068.0,5.222222222222222,78,223.97435897435898,17470.0,2.1794871794871793,87,80470.0,0.11538461538461539
PRV51169,No,0,0,0.0,0.0,0.0,0.0,77,251.6883116883117,19380.0,0.6493506493506493,77,19380.0,0.0
PRV51170,Yes,1,8,18125.0,145000.0,1068.0,6.25,8,102.5,820.0,0.0,16,145820.0,1.0
PRV51171,No,0,0,0.0,0.0,0.0,0.0,59,234.23728813559322,13820.0,3.389830508474576,59,13820.0,0.0
PRV51173,Yes,1,7,12857.142857142857,90000.0,1068.0,7.857142857142857,15,419.3333333333333,6290.0,13.333333333333334,22,96290.0,0.4666666666666667
PRV51175,No,0,0,0.0,0.0,0.0,0.0,41,235.3658536585366,9650.0,2.1951219512195124,41,9650.0,0.0
PRV51176,No,0,0,0.0,0.0,0.0,0.0,445,328.0449438202247,145980.0,1.9550561797752808,445,145980.0,0.0
PRV51178,Yes,1,33,12545.454545454546,414000.0,1068.0,8.212121212121213,31,296.1290322580645,9180.0,9.35483870967742,64,423180.0,1.064516129032258
PRV51179,No,0,0,0.0,0.0,0.0,0.0,26,192.30769230769232,5000.0,0.0,26,5000.0,0.0
PRV51180,No,0,2,23500.0,47000.0,1068.0,1.5,127,371.9685039370079,47240.0,2.204724409448819,129,94240.0,0.015748031496062992
PRV51181,No,0,0,0.0,0.0,0.0,0.0,10,215.0,2150.0,0.0,10,2150.0,0.0
PRV51183,No,0,39,8405.128205128205,327800.0,1068.0,4.897435897435898,72,263.75,18990.0,0.9722222222222222,111,346790.0,0.5416666666666666
PRV51185,No,0,0,0.0,0.0,0.0,0.0,8,198.75,1590.0,0.0,8,1590.0,0.0
PRV51186,No,0,0,0.0,0.0,0.0,0.0,2,50.0,100.0,0.0,2,100.0,0.0
PRV51189,No,0,0,0.0,0.0,0.0,0.0,56,156.07142857142858,8740.0,4.285714285714286,56,8740.0,0.0
PRV51190,No,0,3,8000.0,24000.0,1068.0,3.6666666666666665,63,243.015873015873,15310.0,5.238095238095238,66,39310.0,0.047619047619047616
PRV51191,No,0,0,0.0,0.0,0.0,0.0,32,343.4375,10990.0,2.8125,32,10990.0,0.0
PRV51194,No,0,2,9000.0,18000.0,1068.0,3.0,7,77.14285714285714,540.0,0.0,9,18540.0,0.2857142857142857
PRV51196,No,0,0,0.0,0.0,0.0,0.0,720,273.69444444444446,197060.0,2.4305555555555554,720,197060.0,0.0
PRV51198,No,0,0,0.0,0.0,0.0,0.0,6,60.0,360.0,5.0,6,360.0,0.0
PRV51200,No,0,0,0.0,0.0,0.0,0.0,19,232.6315789473684,4420.0,0.0,19,4420.0,0.0
PRV51201,No,0,0,0.0,0.0,0.0,0.0,45,236.88888888888889,10660.0,1.1111111111111112,45,10660.0,0.0
PRV51202,No,0,0,0.0,0.0,0.0,0.0,12,417.5,5010.0,0.0,12,5010.0,0.0
PRV51203,No,0,0,0.0,0.0,0.0,0.0,21,730.4761904761905,15340.0,3.8095238095238093,21,15340.0,0.0
PRV51204,No,0,0,0.0,0.0,0.0,0.0,499,310.9819639278557,155180.0,1.2024048096192386,499,155180.0,0.0
PRV51205,No,0,0,0.0,0.0,0.0,0.0,10,466.0,4660.0,7.0,10,4660.0,0.0
PRV51206,No,0,0,0.0,0.0,0.0,0.0,10,156.0,1560.0,0.0,10,1560.0,0.0
PRV51207,No,0,3,17000.0,51000.0,1068.0,14.0,0,0.0,0.0,0.0,3,51000.0,3.0
PRV51209,No,0,0,0.0,0.0,0.0,0.0,42,235.95238095238096,9910.0,4.0476190476190474,42,9910.0,0.0
PRV51210,No,0,0,0.0,0.0,0.0,0.0,9,321.1111111111111,2890.0,0.0,9,2890.0,0.0
PRV51211,No,0,0,0.0,0.0,0.0,0.0,2,50.0,100.0,0.0,2,100.0,0.0
PRV51212,No,0,0,0.0,0.0,0.0,0.0,15,417.3333333333333,6260.0,4.666666666666667,15,6260.0,0.0
PRV51213,No,0,0,0.0,0.0,0.0,0.0,2,25.0,50.0,0.0,2,50.0,0.0
PRV51214,No,0,0,0.0,0.0,0.0,0.0,8,400.0,3200.0,0.0,8,3200.0,0.0
PRV51215,No,0,0,0.0,0.0,0.0,0.0,10,161.0,1610.0,0.0,10,1610.0,0.0
PRV51216,No,0,0,0.0,0.0,0.0,0.0,71,219.1549295774648,15560.0,8.028169014084508,71,15560.0,0.0
PRV51217,No,0,0,0.0,0.0,0.0,0.0,5,586.0,2930.0,0.0,5,2930.0,0.0
PRV51218,No,0,0,0.0,0.0,0.0,0.0,7,74.28571428571429,520.0,0.0,7,520.0,0.0
PRV51219,No,0,0,0.0,0.0,0.0,0.0,8,666.25,5330.0,0.0,8,5330.0,0.0
PRV51221,No,0,0,0.0,0.0,0.0,0.0,1,70.0,70.0,0.0,1,70.0,0.0
PRV51222,No,0,0,0.0,0.0,0.0,0.0,5,172.0,860.0,0.0,5,860.0,0.0
PRV51224,No,0,0,0.0,0.0,0.0,0.0,7,447.14285714285717,3130.0,0.0,7,3130.0,0.0
PRV51225,No,0,0,0.0,0.0,0.0,0.0,8,148.75,1190.0,0.0,8,1190.0,0.0
PRV51226,No,0,0,0.0,0.0,0.0,0.0,20,371.5,7430.0,13.5,20,7430.0,0.0
PRV51228,No,0,0,0.0,0.0,0.0,0.0,5,86.0,430.0,14.0,5,430.0,0.0
PRV51229,No,0,0,0.0,0.0,0.0,0.0,47,264.0425531914894,12410.0,2.3404255319148937,47,12410.0,0.0
PRV51230,No,0,0,0.0,0.0,0.0,0.0,30,416.3333333333333,12490.0,0.0,30,12490.0,0.0
PRV51231,No,0,2,8000.0,16000.0,1068.0,9.5,0,0.0,0.0,0.0,2,16000.0,2.0
PRV51232,No,0,1,26000.0,26000.0,1068.0,9.0,0,0.0,0.0,0.0,1,26000.0,1.0
PRV51233,No,0,3,9000.0,27000.0,1068.0,4.333333333333333,0,0.0,0.0,0.0,3,27000.0,3.0
PRV51234,No,0,5,5800.0,29000.0,1068.0,8.2,0,0.0,0.0,0.0,5,29000.0,5.0
PRV51235,No,0,2,5000.0,10000.0,1068.0,2.5,0,0.0,0.0,0.0,2,10000.0,2.0
PRV51236,No,0,1,12000.0,12000.0,1068.0,1.0,0,0.0,0.0,0.0,1,12000.0,1.0
PRV51237,No,0,1,19000.0,19000.0,1068.0,1.0,0,0.0,0.0,0.0,1,19000.0,1.0
PRV51238,No,0,8,16500.0,132000.0,1068.0,13.625,0,0.0,0.0,0.0,8,132000.0,8.0
PRV51239,No,0,1,5000.0,5000.0,1068.0,3.0,0,0.0,0.0,0.0,1,5000.0,1.0
PRV51240,No,0,10,7700.0,77000.0,1068.0,6.1,49,265.7142857142857,13020.0,0.8163265306122449,59,90020.0,0.20408163265306123
PRV51241,No,0,10,7800.0,78000.0,1068.0,6.8,50,244.2,12210.0,3.2,60,90210.0,0.2
PRV51242,Yes,1,10,8500.0,85000.0,1068.0,6.1,100,292.0,29200.0,4.2,110,114200.0,0.1
PRV51243,No,0,0,0.0,0.0,0.0,0.0,36,175.83333333333334,6330.0,7.5,36,6330.0,0.0
PRV51244,Yes,1,198,8980.30303030303,1778100.0,1068.0,5.944444444444445,1215,294.559670781893,357890.0,2.1316872427983538,1413,2135990.0,0.16296296296296298
PRV51245,No,0,4,5000.0,20000.0,1068.0,2.75,169,376.50887573964496,63630.0,4.0828402366863905,173,83630.0,0.023668639053254437
PRV51247,No,0,10,7400.0,74000.0,1068.0,3.8,24,93.33333333333333,2240.0,4.583333333333333,34,76240.0,0.4166666666666667
PRV51248,No,0,1,23000.0,23000.0,1068.0,6.0,1,500.0,500.0,0.0,2,23500.0,1.0
PRV51249,Yes,1,50,9660.0,483000.0,1068.0,7.44,75,204.4,15330.0,2.8,125,498330.0,0.6666666666666666
PRV51250,No,0,0,0.0,0.0,0.0,0.0,85,265.4117647058824,22560.0,3.2941176470588234,85,22560.0,0.0
PRV51251,No,0,0,0.0,0.0,0.0,0.0,11,326.3636363636364,3590.0,0.0,11,3590.0,0.0
PRV51252,No,0,18,7888.888888888889,142000.0,1068.0,4.111111111111111,69,187.3913043478261,12930.0,2.898550724637681,87,154930.0,0.2608695652173913
PRV51253,No,0,0,0.0,0.0,0.0,0.0,85,255.76470588235293,21740.0,3.5294117647058822,85,21740.0,0.0
PRV51255,No,0,2,5500.0,11000.0,1068.0,5.0,72,410.69444444444446,29570.0,0.8333333333333334,74,40570.0,0.027777777777777776
PRV51256,No,0,0,0.0,0.0,0.0,0.0,95,405.7894736842105,38550.0,0.0,95,38550.0,0.0
PRV51258,No,0,8,12250.0,98000.0,1068.0,4.5,6,276.6666666666667,1660.0,33.333333333333336,14,99660.0,1.3333333333333333
PRV51259,No,0,4,37500.0,150000.0,1068.0,6.25,17,115.29411764705883,1960.0,0.0,21,151960.0,0.23529411764705882
PRV51260,No,0,3,26000.0,78000.0,1068.0,8.666666666666666,59,243.89830508474577,14390.0,0.0,62,92390.0,0.05084745762711865
PRV51261,No,0,26,9423.076923076924,245000.0,1068.0,5.576923076923077,116,216.98275862068965,25170.0,3.6206896551724137,142,270170.0,0.22413793103448276
PRV51262,No,0,0,0.0,0.0,0.0,0.0,60,271.1666666666667,16270.0,0.6666666666666666,60,16270.0,0.0
PRV51263,Yes,1,17,12117.64705882353,206000.0,1068.0,9.705882352941176,26,314.2307692307692,8170.0,2.6923076923076925,43,214170.0,0.6538461538461539
PRV51264,No,0,0,0.0,0.0,0.0,0.0,39,135.12820512820514,5270.0,3.076923076923077,39,5270.0,0.0
PRV51265,No,0,0,0.0,0.0,0.0,0.0,160,286.0625,45770.0,4.6875,160,45770.0,0.0
PRV51266,No,0,10,7830.0,78300.0,1068.0,6.9,82,300.0,24600.0,1.829268292682927,92,102900.0,0.12195121951219512
PRV51267,No,0,2,4500.0,9000.0,1068.0,3.0,12,322.5,3870.0,2.5,14,12870.0,0.16666666666666666
PRV51271,No,0,2,8500.0,17000.0,1068.0,4.0,121,216.36363636363637,26180.0,1.6528925619834711,123,43180.0,0.01652892561983471
PRV51272,No,0,2,11000.0,22000.0,1068.0,3.0,77,373.5064935064935,28760.0,8.051948051948052,79,50760.0,0.025974025974025976
PRV51273,No,0,0,0.0,0.0,0.0,0.0,553,237.50452079566003,131340.0,2.5316455696202533,553,131340.0,0.0
